ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
210,107,175,366,155,198,106,268,144,90
211,112,173,358,156,188,105,282,142,90
212,118,171,348,158,179,104,294,141,90
215,125,170,334,159,171,104,302,140,90
216,132,168,320,160,163,103,310,139,90
217,139,166,304,162,156,102,317,137,92
219,148,166,290,164,149,103,326,136,93
220,156,163,276,165,143,103,335,136,96
222,166,162,261,166,137,105,345,135,99
224,175,161,249,168,132,108,355,133,102
225,185,159,235,169,127,110,364,132,106
227,196,159,225,171,123,112,372,131,111
228,208,164,209,172,119,115,377,129,115
229,220,164,200,175,116,118,381,128,120
232,233,159,188,175,113,120,381,127,126
233,246,157,178,177,111,122,376,126,133
235,259,158,170,178,110,125,368,124,140
236,272,157,160,179,109,129,357,123,148
236,281,156,152,182,108,131,343,122,156
235,289,154,144,183,108,134,329,120,164
234,298,153,137,184,109,135,314,119,174
230,308,152,130,185,110,137,300,118,183
227,319,151,124,187,112,137,285,117,194
223,331,150,119,188,114,143,269,115,205
218,340,149,114,190,116,145,256,114,216
213,349,148,109,191,120,149,244,113,228
207,358,146,106,193,123,146,225,111,241
202,365,145,102,194,128,148,214,110,254
198,370,144,99,195,132,150,202,109,268
194,370,144,96,197,138,152,192,108,284
190,366,143,94,199,143,153,181,107,295
186,357,141,92,200,150,154,172,107,305
185,349,141,92,202,157,157,163,106,314
181,333,140,91,203,164,158,154,106,321
180,318,138,92,204,172,160,147,105,329
179,302,138,92,206,180,162,139,105,337
178,288,136,93,207,189,163,132,106,345
176,273,135,95,209,199,165,126,108,353
174,259,134,97,210,209,166,120,109,359
172,245,133,99,212,220,168,114,111,366
171,232,132,103,213,231,170,110,114,371
171,220,131,106,215,242,171,105,111,369
169,208,130,110,216,255,173,102,115,374
167,196,129,115,217,267,175,98,117,374
167,186,127,120,220,281,176,95,119,375
165,175,126,126,220,293,178,94,121,372
163,165,125,132,220,303,179,92,123,365
163,156,124,139,220,311,181,91,125,355
162,148,122,146,219,320,183,90,127,346
160,140,121,154,219,328,185,90,132,339
159,132,121,162,216,338,186,90,134,325
158,125,119,172,210,347,188,91,136,311
157,120,118,181,208,357,189,92,138,296
156,114,117,191,206,365,191,94,139,282
154,108,116,202,203,372,192,97,141,270
154,103,114,212,199,377,193,98,142,258
153,99,113,224,194,381,195,102,146,244
151,95,112,236,190,384,197,106,146,232
150,92,111,249,188,384,198,111,148,223
149,89,109,262,184,382,200,116,149,213
147,87,108,276,181,377,201,121,152,203
146,84,105,289,179,368,203,127,153,194
145,84,102,299,176,356,205,134,155,186
144,83,102,306,172,342,206,141,157,177
142,83,99,313,172,327,207,148,158,169
141,83,103,324,170,312,209,156,160,162
141,84,103,332,171,298,211,165,162,156
139,84,105,340,170,284,212,174,163,150
137,87,107,348,164,271,214,185,166,144
136,88,107,355,165,258,216,196,166,139
135,92,108,363,163,245,218,207,168,135
133,94,111,368,166,224,219,218,170,131
132,98,114,373,164,212,221,231,171,128
131,102,118,376,163,205,223,244,173,125
129,107,121,376,161,193,224,257,175,122
128,113,123,371,160,184,226,271,176,120
127,119,127,363,159,174,228,284,178,119
125,124,130,353,158,164,228,294,180,118
124,132,134,340,157,156,226,303,181,118
122,139,137,327,156,148,225,312,184,118
121,147,138,308,155,141,222,322,185,119
119,155,139,293,154,133,219,332,187,120
118,165,141,279,152,128,215,342,189,121
117,174,143,266,151,122,210,349,190,123
115,184,144,254,150,116,205,356,192,127
114,195,147,242,149,111,201,362,193,130
112,206,149,229,148,107,195,364,195,134
111,218,151,219,146,103,192,364,197,138
110,230,153,209,146,100,189,359,198,144
109,243,154,199,144,97,185,349,201,150
