ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y
362,219,255,554,133,528
367,236,256,512,139,561
371,256,260,470,145,597
376,279,262,436,152,629
381,304,265,398,158,656
386,333,268,363,168,672
390,364,270,330,175,680
395,399,273,302,182,683
398,433,276,275,188,680
400,466,278,251,192,672
403,491,281,230,195,658
401,516,284,211,197,638
397,537,287,196,199,609
392,557,290,182,196,571
375,576,294,172,194,528
354,588,297,164,195,485
332,592,301,158,192,445
307,588,305,155,192,404
282,574,308,155,191,366
258,555,312,157,189,332
232,537,316,162,188,301
216,530,319,169,186,273
210,534,323,179,185,247
210,558,327,192,183,224
207,580,331,208,181,202
202,603,335,227,179,184
197,625,339,248,177,168
194,646,343,274,174,156
193,665,347,301,172,145
197,674,351,332,169,138
203,675,352,364,167,133
209,671,353,397,164,132
217,663,351,430,161,133
222,648,348,463,158,138
227,626,347,492,155,145
231,595,344,526,151,155
231,555,341,558,148,169
240,515,336,589,144,185
234,469,327,616,141,206
229,425,316,635,137,230
226,389,307,647,133,257
221,355,299,653,129,288
218,323,291,652,125,323
216,293,287,646,121,364
213,265,285,636,117,407
209,240,285,619,114,448
207,218,286,594,114,479
204,199,287,560,119,503
201,182,289,517,127,523
197,168,293,476,138,538
194,157,296,439,148,547
191,148,300,401,162,552
187,142,303,367,177,551
184,139,306,334,194,542
181,138,309,303,212,530
177,140,312,276,232,516
173,145,315,251,248,508
169,153,318,229,260,504
165,164,321,210,262,504
161,178,324,193,265,528
156,194,327,180,263,553
152,214,329,169,262,576
147,237,332,161,262,599
142,264,335,155,260,620
138,294,338,152,263,639
133,327,342,152,267,651
129,364,345,154,268,656
124,401,348,159,270,653
124,442,351,167,268,642
126,473,355,177,269,622
128,506,358,190,266,592
131,541,362,205,266,552
137,578,365,224,264,511
145,612,369,245,268,468
153,641,373,269,269,427
163,661,376,296,270,388
174,674,380,326,271,352
184,679,383,359,271,319
190,679,387,393,272,290
195,672,388,425,275,262
199,660,389,458,277,237
201,641,390,487,279,214
202,617,389,512,281,195
199,582,386,534,283,178
197,538,380,554,286,164
197,494,368,570,288,153
198,453,351,580,291,143
196,416,329,578,293,137
193,381,303,567,296,134
191,346,281,551,299,133
190,316,256,534,301,135
187,289,239,519,304,139
