ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
219,498,348,857,228,85,300,203,221,639
214,563,324,859,222,65,304,233,219,653
211,631,308,830,216,50,308,268,216,675
208,694,295,779,210,38,312,310,216,708
202,742,294,717,204,32,316,358,209,750
195,787,286,646,198,31,320,412,216,784
194,839,291,594,192,35,323,471,214,825
196,868,298,543,185,44,328,539,207,842
196,892,304,491,179,58,330,610,207,864
200,901,307,460,172,78,339,689,208,873
203,900,313,416,165,102,341,743,211,872
211,887,317,386,163,132,348,772,215,861
217,857,322,363,157,168,350,825,223,835
224,806,326,345,150,210,349,848,215,810
229,735,330,333,145,257,348,871,231,750
231,662,336,326,141,310,344,882,230,688
239,580,341,326,130,368,338,882,228,628
238,521,347,332,127,430,330,868,219,587
244,448,353,344,120,500,320,833,217,545
251,393,359,361,121,586,313,783,215,510
254,343,366,385,109,659,310,712,213,481
259,301,372,414,106,720,301,625,210,459
262,264,379,449,117,782,291,550,208,442
267,234,386,490,137,824,282,483,206,430
271,209,393,536,161,862,274,419,204,424
276,190,398,588,190,877,265,359,203,425
282,177,397,647,213,873,260,312,201,431
287,168,406,706,231,859,254,266,199,443
292,166,404,750,244,814,246,227,196,461
297,169,398,787,251,739,239,194,194,483
303,178,389,827,258,657,233,165,194,511
309,192,375,855,267,582,227,143,193,545
315,211,359,867,271,516,220,125,190,584
321,235,346,864,271,451,215,113,191,625
327,265,335,846,278,401,209,107,192,659
332,300,329,804,287,350,203,106,195,696
338,340,322,729,293,306,197,112,195,754
343,383,314,652,299,267,190,123,201,805
349,439,302,589,305,235,183,140,208,851
358,491,302,523,312,208,177,162,224,874
357,553,288,458,318,186,170,191,232,875
370,619,281,406,324,170,164,224,239,858
374,698,274,356,330,159,159,264,243,822
385,763,266,313,337,155,154,310,244,757
382,812,259,276,343,155,149,361,238,686
374,847,252,244,350,160,149,422,249,597
383,865,245,218,357,171,144,486,258,532
371,867,237,197,364,188,142,560,261,467
345,852,231,181,370,210,129,639,261,414
337,819,224,171,377,239,124,713,266,361
325,746,217,167,384,272,130,765,268,317
320,675,211,169,391,312,146,835,271,279
304,592,203,176,397,358,165,880,275,248
299,532,195,190,400,411,193,896,279,222
289,467,187,210,411,464,216,895,284,201
280,412,180,236,416,529,231,884,289,186
268,352,173,267,424,601,243,846,293,177
255,315,166,306,435,680,246,792,297,173
249,271,159,350,445,755,256,715,302,174
239,236,153,401,431,798,252,617,306,181
232,207,146,460,411,843,258,546,311,193
222,183,141,525,395,859,262,483,316,210
212,165,141,588,372,865,261,419,322,233
205,152,124,685,354,856,263,364,327,262
197,145,125,740,340,824,272,318,333,295
188,143,134,784,331,768,276,276,339,335
180,147,146,835,323,706,281,240,344,379
170,157,163,878,306,621,286,210,347,436
161,173,182,879,302,554,290,185,347,490
153,194,197,879,290,488,295,167,354,551
145,222,213,878,286,430,299,153,367,619
136,254,231,847,277,381,304,146,368,684
128,293,233,804,270,335,308,143,386,761
123,337,235,716,265,296,312,146,379,807
115,388,244,643,259,263,316,154,374,845
109,447,250,577,255,235,320,166,363,871
104,510,254,507,249,213,325,185,349,879
96,571,256,450,245,196,329,209,335,872
86,644,261,390,241,185,333,238,323,849
79,709,270,353,236,179,338,272,317,809
82,762,275,312,232,179,341,313,312,732
104,814,280,277,227,184,344,358,307,662
134,856,284,246,221,195,351,410,303,592
169,878,290,222,217,211,351,467,292,518
205,896,296,204,212,233,359,532,288,459
234,890,301,191,208,259,366,597,276,414
252,867,307,184,203,291,375,674,268,368
267,830,314,183,200,327,379,740,263,328
275,764,320,188,199,370,381,782,257,295
270,693,327,198,196,422,380,818,252,267
275,611,333,214,191,472,380,834,246,244
273,544,340,235,189,529,377,853,241,227
272,488,347,262,185,585,379,849,236,215
274,430,356,295,174,650,383,839,230,208
275,391,364,333,170,686,390,825,226,206
274,350,371,377,176,707,400,807,221,208
277,315,378,427,181,733,410,789,216,216
279,287,382,482,175,741,424,773,211,228
279,263,388,544,183,748,429,760,207,246
280,246,398,612,188,748,437,748,203,268
280,233,413,684,191,743,445,744,198,295
282,226,414,746,193,733,446,742,193,328
283,224,416,766,191,720,443,757,190,366
284,228,418,777,185,712,449,773,186,409
286,237,407,789,189,708,439,784,181,458
289,252,396,804,184,700,427,790,174,512
291,272,384,814,180,693,414,796,169,567
293,296,372,819,177,687,402,802,161,636
294,325,371,811,170,698,389,806,157,684
296,359,358,810,164,715,377,804,152,701
297,398,348,809,165,736,369,805,156,728
298,442,339,811,167,761,362,806,163,751
299,490,333,811,173,782,355,806,163,782
303,547,328,824,181,802,350,806,169,807
306,601,321,823,171,815,347,804,172,834
309,668,314,819,172,830,344,800,167,841
312,735,308,813,177,844,340,795,171,857
