ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y,ball_5_x,ball_5_y
219,130,304,363,143,592,151,180,316,535
223,120,308,407,141,581,146,201,329,534
226,115,312,455,143,581,141,226,338,536
229,113,317,505,145,564,136,255,346,541
231,116,321,551,143,552,131,288,346,548
234,122,319,559,136,543,126,324,344,560
236,131,311,566,137,544,120,365,339,570
239,145,304,572,132,542,114,411,332,576
242,161,296,577,125,541,105,455,324,579
244,182,288,579,121,543,99,508,316,583
246,206,281,581,115,547,96,543,309,586
249,234,274,581,112,560,92,554,301,586
251,265,269,580,113,571,93,563,295,585
255,299,264,576,109,573,97,572,290,583
258,336,260,576,113,582,101,581,286,582
261,377,256,574,119,590,107,589,284,580
264,421,254,575,125,595,114,593,284,579
267,469,252,576,131,598,120,598,284,579
269,520,251,577,137,603,126,602,283,578
269,573,253,572,142,606,132,606,283,577
268,578,265,587,146,608,137,609,283,584
266,580,262,589,150,609,141,611,281,586
264,580,261,589,153,609,145,611,279,586
263,580,259,589,156,608,148,611,277,585
261,580,257,589,158,607,150,611,275,586
260,581,254,589,159,605,152,611,272,586
259,581,253,589,160,605,153,610,271,586
258,582,252,591,160,605,153,609,270,588
257,583,251,592,161,604,154,609,269,589
257,585,250,594,161,604,154,608,269,590
256,586,249,595,161,603,155,607,268,591
256,587,249,597,161,602,155,607,267,593
255,587,249,598,161,602,155,606,267,593
254,587,248,597,161,602,155,606,266,593
254,587,247,597,161,601,155,605,265,593
253,587,246,597,161,601,155,605,265,593
251,587,244,599,162,600,156,605,263,593
248,588,256,593,163,599,157,604,260,594
244,589,251,593,165,599,158,605,256,594
239,590,246,594,166,602,159,607,251,595
234,590,241,592,166,607,159,610,246,594
229,590,247,588,165,611,158,615,241,593
224,589,242,586,165,615,156,621,236,591
219,588,237,584,166,619,157,624,231,589
214,587,231,583,167,626,157,625,226,588
209,585,226,581,169,629,158,626,221,586
205,584,221,579,171,630,160,625,215,583
201,583,217,576,173,632,160,625,209,580
195,581,212,573,174,633,162,624,204,578
194,583,209,572,176,632,163,622,201,577
188,583,207,571,178,630,163,621,199,576
184,590,205,571,178,628,164,620,206,571
180,597,205,572,179,625,165,620,206,571
176,605,206,574,179,624,166,620,206,573
172,609,208,576,180,622,166,619,208,575
171,609,209,579,180,621,166,619,210,578
171,609,212,584,180,621,166,620,212,582
171,610,215,588,180,621,166,620,215,587
