ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y
317,423,256,386,141,622
321,441,259,357,140,625
324,461,262,332,144,628
326,485,265,308,145,629
328,508,267,285,145,630
331,532,270,262,146,630
334,552,273,243,148,630
338,570,275,224,149,630
345,589,277,208,150,629
341,607,279,193,151,628
339,624,282,179,151,627
338,640,285,167,152,626
333,653,288,157,151,626
325,661,291,148,152,625
315,664,294,141,152,624
307,664,296,136,151,624
299,660,299,132,150,624
292,653,302,130,149,625
283,641,305,130,148,626
276,626,307,131,147,628
269,607,310,134,146,630
261,585,312,139,146,633
254,557,315,146,144,637
259,527,317,155,144,641
237,508,319,166,143,646
236,479,322,179,142,651
241,453,324,194,143,656
230,431,326,211,143,661
225,416,328,230,143,668
223,400,330,252,143,674
220,383,332,275,145,679
215,368,334,301,148,684
212,358,336,330,151,688
208,344,339,359,154,691
204,335,340,392,160,694
199,329,343,426,164,694
194,323,347,458,169,693
191,319,349,488,175,690
186,313,349,513,181,684
181,314,347,533,187,673
176,314,343,550,192,656
171,316,338,565,196,633
167,320,334,579,199,602
162,323,330,589,202,566
157,332,326,599,205,526
152,341,322,606,207,487
147,352,318,611,206,450
141,365,314,615,206,414
136,380,311,618,206,379
131,393,308,618,208,349
125,412,306,617,208,319
119,433,305,615,208,291
114,454,304,614,209,266
110,474,303,613,209,242
105,488,302,610,207,221
98,503,301,607,207,202
94,515,301,603,207,183
94,531,302,599,207,167
96,547,303,595,206,152
97,567,305,591,206,139
100,585,305,587,205,127
106,602,307,582,204,118
112,617,307,577,203,109
120,628,308,573,202,102
128,638,309,569,201,98
138,645,310,566,200,95
146,651,310,563,199,94
154,653,311,561,198,94
161,652,312,560,196,96
168,650,313,559,195,99
173,644,314,561,193,104
179,636,314,562,191,111
184,625,314,565,190,119
189,610,315,570,188,129
194,589,314,576,186,140
200,565,315,583,184,153
207,538,315,591,182,167
215,512,315,602,180,184
221,489,315,613,178,201
226,467,314,624,176,221
233,446,313,638,173,242
238,428,313,651,171,264
245,410,311,663,169,288
250,394,309,673,166,313
259,381,306,682,164,340
262,369,301,689,161,368
268,360,297,693,158,398
271,352,292,695,157,427
277,347,286,694,157,450
281,342,279,690,156,462
286,339,272,683,154,473
289,336,266,670,152,486
293,335,258,653,152,498
298,337,253,628,152,510
302,338,250,594,152,522
