ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y,ball_4_x,ball_4_y
358,294,143,50,353,521,302,571
361,264,131,97,343,556,299,523
365,235,119,147,341,593,295,480
369,212,106,203,337,632,293,439
374,192,94,266,327,662,290,402
378,178,81,334,317,681,287,369
382,167,67,407,311,689,284,342
387,161,57,488,307,688,281,318
390,168,49,555,325,680,278,299
396,176,42,581,326,658,275,283
396,182,40,605,332,630,272,273
404,206,57,627,337,589,269,268
408,214,89,643,342,535,266,267
412,245,132,652,346,487,263,270
416,278,181,654,350,444,260,279
421,317,228,650,354,404,257,292
424,364,266,646,359,367,253,309
429,416,291,630,364,335,250,333
435,477,303,594,368,308,247,361
439,528,308,544,373,286,243,395
447,559,310,487,378,266,240,433
447,595,310,439,382,252,236,478
441,627,308,394,387,245,233,527
430,658,308,356,391,241,222,572
416,670,308,320,396,243,213,596
404,684,308,286,400,248,214,619
384,686,307,262,405,259,222,636
374,666,307,240,410,275,238,650
376,638,307,222,414,295,257,662
379,601,307,210,418,320,279,670
381,556,307,201,422,350,299,675
384,508,306,197,427,384,317,678
387,463,306,199,431,422,332,678
393,417,305,205,435,463,343,672
400,377,304,216,442,506,353,660
406,342,304,231,446,535,360,643
413,311,303,250,451,553,368,619
419,284,303,274,452,574,370,585
426,261,302,303,452,597,367,536
431,242,302,338,450,619,362,487
437,228,302,377,447,639,358,438
442,219,301,421,442,656,354,394
448,214,300,470,438,670,350,354
453,215,299,526,435,676,346,318
459,220,301,569,432,673,343,287
465,228,297,590,431,662,339,259
472,242,302,609,431,639,336,236
477,260,313,627,434,606,333,218
483,282,328,640,434,556,329,203
489,310,346,651,436,503,326,193
495,344,363,659,440,463,322,188
501,383,378,664,443,419,319,187
508,424,390,665,447,382,316,189
514,472,399,660,451,348,312,197
521,521,405,648,455,317,308,210
521,554,409,624,459,291,304,227
523,578,406,579,463,269,300,249
518,603,402,528,468,249,296,276
509,628,399,472,473,235,293,308
498,645,396,424,476,226,289,346
484,656,392,380,481,221,284,388
