ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y
0,0,0,0,0,0
300,395,94,609,219,387
308,422,93,582,217,383
316,450,93,548,215,381
325,480,100,508,213,382
322,503,110,474,211,386
315,526,119,444,209,393
313,553,127,413,207,402
312,577,137,384,204,412
310,600,146,358,202,428
307,619,155,334,200,445
303,634,163,313,197,464
298,645,171,295,194,483
292,650,181,279,192,505
287,651,189,266,192,519
281,647,198,255,186,537
274,637,207,248,184,554
268,623,217,243,182,573
262,603,227,241,177,591
257,577,236,243,170,608
261,546,245,248,165,625
245,527,255,254,159,638
246,496,264,264,152,648
252,469,273,277,145,654
237,456,280,292,138,656
240,442,290,311,132,654
238,427,300,332,126,646
235,415,309,358,121,632
233,405,319,385,117,613
230,398,328,416,113,589
228,393,336,446,115,559
226,391,349,475,121,522
224,392,364,500,125,486
222,395,363,522,133,456
219,401,357,547,141,429
217,409,351,571,149,400
215,420,345,594,156,374
212,435,337,612,165,354
210,452,330,628,172,331
207,471,320,639,180,315
205,489,313,646,188,302
203,513,304,649,198,291
201,536,296,648,205,283
197,556,289,643,214,280
196,575,281,632,222,279
192,596,274,616,228,274
185,615,270,594,235,276
179,630,264,566,243,282
169,643,257,538,249,289
160,652,250,510,255,296
152,658,247,483,266,309
144,660,240,465,271,324
137,657,240,449,279,342
130,650,237,435,286,363
124,637,234,420,294,386
119,619,230,407,301,414
115,594,227,398,309,441
115,563,224,391,315,473
121,526,220,387,324,503
129,491,217,385,337,532
140,461,214,386,339,555
148,432,211,388,339,578
158,407,208,393,339,601
167,382,205,403,333,619
176,360,202,413,327,633
186,341,198,427,319,642
196,326,194,443,311,648
204,313,191,463,304,650
213,303,188,481,296,648
222,294,183,501,289,642
231,288,181,524,281,630
239,286,179,546,274,614
247,287,178,566,268,592
255,289,178,589,262,562
263,294,173,607,256,537
272,303,165,625,251,512
280,314,158,638,251,484
288,326,150,648,249,464
296,342,142,651,246,445
305,361,133,650,243,428
313,383,126,643,241,415
321,406,120,631,238,404
330,430,117,614,236,394
339,459,114,590,234,389
346,489,114,562,232,384
351,518,121,529,229,384
350,539,131,496,227,386
349,563,138,464,225,391
346,585,145,437,223,397
340,604,155,409,221,406
332,621,165,384,219,418
324,635,173,361,217,433
316,646,182,341,214,451
307,655,191,324,212,471
298,658,201,311,210,493
291,658,211,298,207,516
283,653,220,289,202,532
275,643,231,285,198,552
268,629,241,282,192,573
262,609,250,282,184,593
258,583,259,285,179,613
253,555,268,292,171,629
244,534,276,299,163,645
246,505,286,311,155,656
249,481,295,324,146,664
247,463,305,341,136,668
246,448,315,360,128,669
244,430,324,381,120,665
244,420,334,407,112,657
242,411,344,435,105,643
241,404,353,464,99,625
240,400,364,494,97,597
238,398,372,524,97,568
237,399,375,553,103,535
236,402,376,580,111,503
234,409,371,602,119,475
233,418,365,627,128,448
232,429,359,648,137,422
231,443,353,664,146,399
230,460,345,678,155,378
228,480,336,689,164,360
227,502,327,695,173,345
226,524,320,698,182,333
224,549,312,699,191,322
226,576,304,695,200,315
219,600,295,686,210,310
213,620,285,672,219,309
202,637,276,652,229,311
188,651,270,628,239,315
175,662,263,597,247,324
161,670,258,567,257,334
148,676,251,538,266,347
136,679,245,513,277,363
125,679,242,495,287,382
115,675,238,475,297,406
105,668,233,457,307,432
98,655,228,443,317,462
94,639,224,431,328,495
92,617,220,421,337,530
92,589,216,414,345,556
96,554,212,409,351,579
103,518,208,407,356,599
114,485,204,408,356,618
124,457,200,411,354,634
135,429,196,417,350,648
147,403,191,426,342,660
157,379,187,437,335,672
168,358,183,451,328,679
179,341,179,467,320,684
189,326,176,484,312,687
199,315,172,504,303,688
208,306,171,526,297,687
219,299,170,548,290,682
229,295,168,571,283,673
238,293,164,593,275,658
248,295,160,617,269,639
258,300,153,639,259,612
269,307,145,654,253,582
279,316,139,663,245,557
289,329,132,670,242,528
298,344,125,672,239,503
308,362,118,671,234,482
319,384,112,665,230,464
329,407,106,652,227,448
340,433,101,634,223,435
351,458,98,608,219,424
362,487,97,576,216,415
373,517,100,540,212,410
377,542,108,503,209,406
375,566,118,473,205,405
373,591,122,448,201,406
368,613,131,418,197,411
360,633,140,393,193,418
350,651,149,370,189,429
339,665,157,350,185,442
328,673,164,333,180,457
318,676,171,319,176,474
307,676,178,308,173,492
297,672,185,299,169,511
287,663,192,292,166,532
278,649,201,289,165,553
268,628,209,289,164,575
261,604,215,291,162,597
256,575,223,296,158,617
250,548,232,304,153,635
243,524,240,314,144,651
240,496,246,327,137,662
237,478,253,345,128,669
235,461,260,363,120,672
232,445,267,384,111,669
228,435,274,408,103,663
225,425,282,434,96,649
221,418,289,463,90,627
219,410,295,490,88,600
215,410,301,521,90,571
212,408,309,549,95,537
209,413,314,571,104,504
207,419,314,594,114,473
204,427,316,615,124,444
201,437,315,635,133,417
198,450,314,649,143,393
195,466,309,660,152,372
194,480,304,668,163,353
192,493,298,671,172,339
189,509,292,672,181,326
187,525,284,668,192,316
184,545,275,659,201,309
180,568,267,645,212,305
176,590,260,627,221,303
171,611,255,603,230,306
163,632,250,575,240,310
155,649,252,546,249,318
147,662,241,521,258,327
138,672,241,503,268,340
130,675,238,487,278,356
122,674,236,474,288,375
117,666,233,459,298,397
109,654,230,448,308,421
104,637,226,439,318,449
102,614,224,433,328,481
102,585,221,429,339,514
106,550,218,428,347,550
113,514,215,430,349,575
120,484,212,435,351,597
125,459,209,442,346,615
132,431,206,451,341,632
140,406,203,464,336,645
148,384,201,479,329,656
155,364,197,497,323,664
163,345,196,514,315,670
170,333,198,532,308,673
177,323,196,550,300,674
184,314,194,571,293,673
191,309,188,593,285,670
198,306,185,612,276,661
205,306,179,633,269,646
213,308,170,647,260,628
220,313,159,660,252,604
228,320,148,669,246,574
