ball_1_x,ball_1_y,ball_2_x,ball_2_y,ball_3_x,ball_3_y
234,330,136,675,238,544
242,344,124,676,230,517
250,361,113,674,228,494
257,380,103,667,224,474
264,402,95,654,219,455
271,427,88,636,214,439
278,455,83,610,210,426
286,484,81,580,206,416
295,513,84,543,202,408
303,542,91,503,198,403
306,565,104,472,194,401
313,585,113,445,190,400
315,606,123,416,187,402
315,621,134,390,183,407
313,635,144,366,179,414
309,646,154,345,175,424
305,653,163,327,171,436
300,658,173,312,167,450
295,659,183,300,166,466
289,658,191,289,163,482
284,654,203,282,164,500
278,647,213,277,165,521
271,636,223,274,163,543
265,619,233,275,161,566
259,597,243,279,156,586
255,570,252,285,151,605
250,543,262,294,148,624
244,518,270,305,143,642
243,497,279,318,137,655
240,477,289,335,132,665
238,462,298,354,127,668
236,448,307,376,122,664
233,440,317,400,117,655
231,431,326,427,114,639
228,424,335,458,110,616
226,420,345,485,110,588
224,419,358,515,112,555
222,420,363,540,117,518
219,424,364,565,122,486
217,430,363,589,128,454
215,439,357,615,134,425
213,450,350,637,141,398
210,464,341,655,147,374
208,481,329,667,154,352
207,497,318,675,161,333
205,514,307,678,167,317
204,529,296,677,173,304
198,544,286,676,179,293
196,563,276,670,186,286
197,581,266,659,192,280
191,602,261,642,197,278
184,618,252,623,204,277
172,632,247,596,212,281
161,643,244,566,219,286
150,652,237,535,223,294
137,657,233,508,230,306
126,657,229,487,236,319
114,654,228,471,240,336
104,645,224,454,246,356
96,630,221,438,251,378
90,610,217,424,257,404
86,584,214,414,264,431
88,551,211,407,270,461
94,517,208,402,276,495
103,487,205,399,282,524
110,458,202,400,279,552
118,433,199,403,293,568
126,408,196,408,300,590
135,385,193,416,306,612
143,365,190,427,307,632
152,348,187,441,305,648
161,333,184,456,302,661
169,321,183,471,298,669
177,312,180,487,293,672
185,306,175,504,286,672
193,302,173,524,281,671
202,301,169,543,274,665
211,303,162,564,268,655
220,307,158,586,261,638
228,314,152,608,253,615
237,323,144,630,247,586
245,335,135,648,241,556
255,351,128,660,236,528
264,370,118,671,237,505
273,392,110,674,235,484
282,417,104,672,232,464
292,445,98,663,229,445
301,472,94,649,227,431
311,504,90,628,224,420
321,536,89,601,222,411
325,554,92,566,220,405
328,573,96,525,217,401
332,595,106,488,215,400
333,614,115,457,213,402
330,629,123,426,210,407
326,640,132,396,208,413
323,652,141,368,206,423
317,660,150,343,203,435
311,667,160,320,201,450
306,670,166,300,200,466
301,672,175,283,199,484
296,672,184,268,199,502
290,670,193,254,194,519
284,664,202,246,190,539
277,653,212,241,188,560
271,638,221,236,184,581
265,616,230,235,178,600
260,589,239,238,171,620
263,556,248,243,164,637
245,538,257,251,157,651
247,508,266,263,147,661
244,484,275,277,139,667
238,470,282,295,130,669
238,455,292,314,122,669
235,441,301,338,114,661
232,429,310,364,107,650
230,420,319,394,102,634
227,413,329,425,98,609
224,410,335,458,96,580
221,408,343,487,99,546
219,409,343,512,106,508
216,413,342,536,115,476
214,420,348,556,125,446
212,430,350,579,133,417
208,442,345,602,144,389
205,457,343,622,153,366
203,471,336,640,163,344
202,489,329,654,172,326
193,504,321,664,181,310
200,519,314,670,191,296
194,534,306,673,200,287
193,554,299,672,210,280
193,574,292,667,219,275
188,593,284,658,229,273
184,610,277,644,237,274
176,628,270,625,246,276
165,644,265,598,256,283
153,656,258,571,264,292
142,664,246,543,274,305
131,666,246,514,283,319
121,663,239,495,292,338
113,653,241,476,302,358
105,639,234,462,311,382
102,619,229,446,320,408
100,591,225,433,330,437
103,558,222,422,339,467
109,521,218,415,348,497
118,487,214,409,357,525
125,458,211,406,362,554
133,429,207,406,362,582
140,404,203,409,360,608
150,380,199,414,355,631
158,358,195,423,347,652
